gameid,time,roundNum,sender,contents
3423-d,1438805656311,1,director,"2 could be someone kneeling as well. But toward the left~~~ It is bigger and could have a large ponytail~~~",B
3423-d,1438805674530,1,matcher,"I have your flying nun in #2",C
3423-d,1438805684826,1,director,"flying nun is 5",C
3423-d,1438805691210,1,matcher,"oh ok",C
3423-d,1438805721849,1,director,"7 is very similar to 3",H
3423-d,1438805742708,1,matcher,"3 is your runway model, right?",J
3423-d,1438805746615,1,director,"Yes",J
3423-d,1438805775930,1,director,"While 3 has arms outstretched, 7 looks like the arms are hanging more naturally.",H
3423-d,1438805870170,1,director,"Are you there?",0
3423-d,1438805873359,1,matcher,"yeah",0
3423-d,1438805876856,1,matcher,"I am thinking",0
3423-d,1438805890681,1,matcher,"I know I have 3 now",J
3423-d,1438805896263,1,matcher,"and 7 too I think",H
3423-d,1438805934054,1,director,"Ok, 6 kind of looks like 11 (sad person) but turned  in the opposite direction and more triangular.",E
3423-d,1438805953273,1,matcher,"got it ",E
3423-d,1438805962421,1,matcher,"has a bow or bunny ears",E
3423-d,1438805968319,1,director,"yes",E
3423-d,1438805982744,1,director,"9 should be the last one.",G
3423-d,1438805996867,1,matcher,"what does 9 look like on your end?",G
3423-d,1438806038745,1,director,"2 triangles, one square and a large L shape on the bottom.",G
3423-d,1438806094477,1,matcher,"L pointing left??",G
3423-d,1438806105168,1,director,"Yes.",G
3423-d,1438806175912,1,director,"How's it going?",0
3423-d,1438806242396,1,matcher,"I thnk I'm all set",0
3423-d,1438806249187,1,director,"ok",0
3423-d,1438806251305,1,matcher,"sorry",0
3423-d,1438806255061,1,matcher,"like this.~~~~~~",0
3423-d,1438806292208,1,director,"So, you're ready to submit?",0
3423-d,1438806309506,1,matcher,"yep",0
3423-d,1438806331138,2,matcher,"how did we get 9 correct??",0
3423-d,1438806354335,2,director,"I guess we got mixed up on 3 of them. 9 out of 12 ain't bad~~~",0
3423-d,1438806361970,2,matcher,"I suppose",0
3423-d,1438806380411,2,matcher,"now we have some names / ideas for these start me at 1",0
3423-d,1438806409350,2,director,"1 is the teacher. pointing toward the left~~~ ",D
3423-d,1438806418101,2,matcher,"ok",D
3423-d,1438806455213,2,director,"2 is the last one we just did with the L shape point toward the left. It looks the least like a person to me~~~",G
3423-d,1438806469686,2,matcher,"yep got it",G
3423-d,1438806483616,2,director,"3 is the one with the rabbit ears/hair bow.",E
3423-d,1438806494150,2,matcher,"rabbit, got it",E
3423-d,1438806558104,2,director,"4 is the kneeler that is pointing toward the left. where square (head) looks like a triangular ponytail is attached~~~",B
3423-d,1438806589450,2,matcher,"got it",B
3423-d,1438806596470,2,director,"5 is the ice skater",I
3423-d,1438806625634,2,matcher,"got it",I
3423-d,1438806677851,2,director,"6 is one of the kneelers pointing toward the right. This one has the extra part on the back~~~ ",K
3423-d,1438806728103,2,matcher,"is the extra part near the feet?",K
3423-d,1438806738653,2,director,"yes. Where the feet would be~~~",K
3423-d,1438806744653,2,matcher,"great, got it",K
3423-d,1438806776230,2,director,"I could say that 7 is a student in cap and gown. Not pointing in any direction and basically just standing there~~~",H
3423-d,1438806791913,2,matcher,"awesome idea for that one",H
3423-d,1438806793502,2,matcher,"got it",H
3423-d,1438806803760,2,director,"8 is the flying nun",C
3423-d,1438806867064,2,matcher,"go it",C
3423-d,1438806878142,2,director,"9 is the runway model, ",J
3423-d,1438806923705,2,matcher,"arms outstreched?",J
3423-d,1438806930477,2,director,"Yes.",J
3423-d,1438806933140,2,matcher,"got it",J
3423-d,1438806961215,2,director,"10 is the sad person sitting on the bed. Legs pointing toward the left~~~",F
3423-d,1438806987580,2,matcher,"got it",F
3423-d,1438807046171,2,director,"11 is the person with large nose and leg pointing to the left. looks like the Ziggy cartoon~~~ Has a square on the upper backside~~~",A
3423-d,1438807064845,2,matcher,"good and 12 is the boxy one",L
3423-d,1438807091549,2,director,"yes, 12 looks similar to 6, just above it.",L
3423-d,1438807127681,2,matcher,"ok submitting",0
3423-d,1438807138903,3,matcher,"what???",0
3423-d,1438807145287,3,matcher,"they have to be messing with us",0
3423-d,1438807164525,3,director,"I'm wondering if we have some mixed up. I don't think so~~~",0
3423-d,1438807174227,3,matcher,"I didn't think so either",0
3423-d,1438807196025,3,matcher,"they seem distinctive now",0
3423-d,1438807227327,3,director,"For this time, 1 was 12 on the last one. To make sure, I'll say that it could be someone reading a book while on their knees~~~ ",F
3423-d,1438807246868,3,director,"knees and book pointing toward the right.",F
3423-d,1438807263651,3,matcher,"no extra part by the feet, right?",F
3423-d,1438807273532,3,director,"right",F
3423-d,1438807279027,3,matcher,"ok ",F
3423-d,1438807317234,3,director,"2 is runway model. I say that because it looks like a model showing off a cape or wrap~~~ Arms outstretched~~~",J
3423-d,1438807324168,3,matcher,"good",J
3423-d,1438807329212,3,matcher,"keep em comin",0
3423-d,1438807331572,3,director,"3 is rabbit ears",E
3423-d,1438807336901,3,matcher,"got it",E
3423-d,1438807352214,3,director,"4 is sad person on bed, legs pointing to the left",F
3423-d,1438807360083,3,matcher,"got it",F
3423-d,1438807377773,3,director,"5 is the lecturer. arm stretched toward the left~~~",D
3423-d,1438807391295,3,director,"6 is student in cap and gown.",H
3423-d,1438807392425,3,matcher,"good",H
3423-d,1438807398613,3,matcher,"ok",0
3423-d,1438807415768,3,matcher,"wait",0
3423-d,1438807465911,3,matcher,"on 6 is it mostly like a box with a dimond on it or more natural looking?",H
3423-d,1438807493232,3,matcher,"with slopes for the shoulders?",H
3423-d,1438807527645,3,director,"yes, kind of like box with a diamond. It looks kind of octagonal but with one extra triangle on the bottom right side~~~",H
3423-d,1438807557124,3,matcher,"ok good go on",H
3423-d,1438807589676,3,director,"7 is kneeling pointing toward the left. square head, triangular ponytail?",B
3423-d,1438807625928,3,matcher,"extra part at the feet makes it different from 1 right?",B
3423-d,1438807660004,3,director,"No, this is the other kneeling one.",B
3423-d,1438807700191,3,matcher,"my mistake",B
3423-d,1438807705589,3,matcher,"go on",B
3423-d,1438807713235,3,director,"8 is the flying nun",C
3423-d,1438807730495,3,matcher,"good",C
3423-d,1438807746347,3,director,"9 is the one that's similar to 1. With the extra part on the bottom~~~",K
3423-d,1438807768296,3,matcher,"ok then",K
3423-d,1438807772029,3,director,"10 is the ice skater",I
3423-d,1438807773393,3,matcher,"go back to 7",B
3423-d,1438807784225,3,matcher,"got 10",I
3423-d,1438807800434,3,director,"7 is hard for me to describe. I'll try~~~",B
3423-d,1438807816657,3,matcher,"does it have the big L shape going left?",B
3423-d,1438807822761,3,director,"No.",B
3423-d,1438807862297,3,matcher,"where's Ziggy?",A
3423-d,1438807881276,3,director,"It could be a heavy set woman with large chest, small waist. A diamond is sitting on top with a triangle attached~~~",B
3423-d,1438807889906,3,director,"Ziggy is 12",A
3423-d,1438807906604,3,matcher,"whose at 11",G
3423-d,1438807924310,3,matcher,"we should get 7 by elimination then",0
3423-d,1438807937226,3,director,"11 is the Large L shape on the bottom.",G
3423-d,1438807947708,3,matcher,"ok we have it now",0
3423-d,1438807954468,3,director,"great.",0
3423-d,1438807955372,3,matcher,"this CANT be wrong",0
3423-d,1438807963199,4,matcher,"???????????",0
3423-d,1438807971692,4,matcher,"this is a psyche study",0
3423-d,1438807977162,4,matcher,"seriously",0
3423-d,1438807977320,4,director,"right",0
3423-d,1438807989657,4,director,"I think we have to be right",0
3423-d,1438807995669,4,matcher,"no kidding",0
3423-d,1438808005045,4,matcher,"just start at 1 again",0
3423-d,1438808042516,4,director,"1 is sad person on bed, legs pointing toward the left, diamond head hanging.",F
3423-d,1438808049454,4,matcher,"got it",F
3423-d,1438808054401,4,director,"w is ziggy",A
3423-d,1438808062915,4,director,"2 is ziggy, sorry.",A
3423-d,1438808069339,4,matcher,"is cool got it",A
3423-d,1438808082339,4,director,"3 is teacher, pointing toward the left.",D
3423-d,1438808098167,4,matcher,"got it",D
3423-d,1438808118155,4,matcher,"only stop I ask for clarification",0
3423-d,1438808121513,4,matcher,":)",0
3423-d,1438808125433,4,director,"4 is diamond on top of box. Shoulders resting~~~",H
3423-d,1438808129505,4,director,"ok",H
3423-d,1438808153961,4,director,"5 is large L shape on the bottom.",G
3423-d,1438808200546,4,director,"6 is the kneeling toward the right withe the extra part on the bottom where the feet should be.",K
3423-d,1438808270875,4,director,"7 is heavyset woman with large chest. Diamond head and triangle attached to the diamond~~~",B
3423-d,1438808301653,4,matcher,"oh that was your ponytail???",B
3423-d,1438808322609,4,director,"Yes, I called that a ponytail.",B
3423-d,1438808327583,4,matcher,"lol I see it now",B
3423-d,1438808331159,4,director,"8 is the kneeler pointing toward the right, with book also pointing toward the right.",L
3423-d,1438808332013,4,matcher,"go on",L
3423-d,1438808344177,4,director,"9 is flying nun",C
3423-d,1438808350017,4,director,"10 rabbit ears",E
3423-d,1438808357988,4,director,"11 runway model",J
3423-d,1438808367152,4,director,"12 ice skater",I
3423-d,1438808375087,4,matcher,"ok",0
3423-d,1438808380335,5,matcher,"wow",0
3423-d,1438808384111,5,matcher,"that was all my fault",0
3423-d,1438808387731,5,matcher,"lol sorry",0
3423-d,1438808394064,5,director,"No, I'm sure I had something to do with it.",0
3423-d,1438808404624,5,matcher,"ok 1?",0
3423-d,1438808420210,5,director,"1 is kneeler pointing toward the right with book pointing in same direction.",L
3423-d,1438808425650,5,director,"2 is ziggy.",A
3423-d,1438808434006,5,director,"3 is flying nun",C
3423-d,1438808443656,5,director,"4 is teacher pointing to the left.",D
3423-d,1438808455936,5,director,"5 is heavy set woman kneeling with ponytail.",B
3423-d,1438808473761,5,director,"6 is sad person on bed, legs pointing toward the left.",F
3423-d,1438808480809,5,director,"7 is runway model",J
3423-d,1438808501353,5,director,"8 is kneeling toward the right with extra part on bottom where feet should be.",K
3423-d,1438808539243,5,matcher,"9?",B
3423-d,1438808542866,5,director,"9 is diamond on top of box or shoulders resting.",B
3423-d,1438808553736,5,director,"10 had the large L shape on bottome.",G
3423-d,1438808559903,5,director,"11 is the skater",I
3423-d,1438808566089,5,director,"12 rabbit ears.",E
3423-d,1438808574201,6,matcher,"ok",0
3423-d,1438808583315,6,director,"1 is model",J
3423-d,1438808583419,6,matcher,"good, but I only have 10 mins left lol",0
3423-d,1438808606096,6,director,"2 is kneeling to the right book pointing to right.",L
3423-d,1438808616606,6,director,"4 is sad person legs pointing left.",F
3423-d,1438808623896,6,director,"oops 3 is flying nun",C
3423-d,1438808630160,6,matcher,"got it",C
3423-d,1438808631600,6,director,"5 is teacher pointing to the left.",D
3423-d,1438808643991,6,director,"6 has large L on the bottom",G
3423-d,1438808651016,6,director,"7 ice skater.",I
3423-d,1438808659935,6,director,"8 is rabbit ears.",E
3423-d,1438808671368,6,director,"9 heavy set woman, ponytail.",B
3423-d,1438808690770,6,director,"Kneeling to the right with extra part where feet should be.",K
3423-d,1438808716295,6,director,"11. Diamond on top of box/shoulders at rest~~~",H
3423-d,1438808722022,6,director,"12 ziggy",A
3423-d,1438808724106,6,matcher,"ziggy",A
3423-d,1438808726752,6,matcher,"ok",A
