gameid,time,roundNum,sender,contents
1903-d,1438805072406,1,director,"should be 4",H
1903-d,1438805090917,1,matcher,"ok and there's one that looks like a rabbit lounging",E
1903-d,1438805092740,1,matcher,"facing left",E
1903-d,1438805096457,1,director,"1",E
1903-d,1438805102742,1,director,"wait",E
1903-d,1438805113708,1,director,"8",G
1903-d,1438805115238,1,matcher,"yea theres one that looks like hes sitting with his hand behind him",G
1903-d,1438805121898,1,matcher,"ok",G
1903-d,1438805122005,1,director,"yeah, 8",G
1903-d,1438805139958,1,matcher,"we just have 6 and 12 now to go i think",0
1903-d,1438805158502,1,matcher,"and 11",0
1903-d,1438805164722,1,director,"6 kind of looks like balancing on one foot",I
1903-d,1438805169441,1,matcher,"ok got it",I
1903-d,1438805176198,1,matcher,"and is 11 or 12 a rabbit?",A
1903-d,1438805176246,1,director,"12 is the one kicking",A
1903-d,1438805190755,1,matcher,"ok, is 11 a rabbit looking thing?",B
1903-d,1438805203615,1,director,"sorta ",B
1903-d,1438805211161,1,matcher,"alright i think we got them all",0
1903-d,1438805214857,1,director,"ok :)",0
1903-d,1438805223661,2,matcher,"nice",0
1903-d,1438805228115,2,director,":D",0
1903-d,1438805241221,2,director,"1 balancing on one foot",I
1903-d,1438805248089,2,matcher,"k",I
1903-d,1438805249160,2,director,"7 kicking"A
1903-d,1438805256582,2,matcher,"k",A
1903-d,1438805271366,2,director,"2 that last one that I said sorta look like a rabbit",B
1903-d,1438805276931,2,director,"from last round",B
1903-d,1438805277092,2,matcher,"ok",B
1903-d,1438805283900,2,director,"8 louging rabbit",G
1903-d,1438805289878,2,matcher,"alright",G
1903-d,1438805290823,2,director,"3 flying person",C
1903-d,1438805295017,2,matcher,"ok",C
1903-d,1438805298731,2,director,"4 sitting person",F
1903-d,1438805309636,2,matcher,"ok",F
1903-d,1438805327736,2,director,"5 the one that had a cut out at the back ",K
1903-d,1438805334312,2,matcher,"ok",K
1903-d,1438805334616,2,director,"pointing right",K
1903-d,1438805339769,2,director,"6 looks like it",K
1903-d,1438805344579,2,director,"bent knees",K
1903-d,1438805348005,2,matcher,"ok",K
1903-d,1438805354293,2,director,"11 the one holding tray",D
1903-d,1438805367918,2,matcher,"with the straight left side?",D
1903-d,1438805376120,2,matcher,"ok",D
1903-d,1438805379105,2,director,"straight right",D
1903-d,1438805384089,2,matcher,"oh ok i got",D
1903-d,1438805387161,2,director,"12 rabbit facing right / looking down",E
1903-d,1438805391062,2,matcher,"ok",E
1903-d,1438805400359,2,director,"10 one that looks like kneeling",H
1903-d,1438805412879,2,director,"9 straight left side / diamond head",J
1903-d,1438805419648,2,matcher,"alright i think thats it",0
1903-d,1438805448523,3,director,"1. lounging rabbit",G
1903-d,1438805452093,3,matcher,"much faster that time now that we agree what these are lol",0
1903-d,1438805455417,3,director,"yeah",0
1903-d,1438805455511,3,matcher,"ok",0
1903-d,1438805462624,3,director,"2 kneeling ",H
1903-d,1438805468334,3,matcher,"ok",H
1903-d,1438805470244,3,director,"3 rabbit facing right",E
1903-d,1438805477505,3,matcher,"ok",E
1903-d,1438805478201,3,director,"4 standing on one foot",I
1903-d,1438805485852,3,matcher,"ok",I
1903-d,1438805488550,3,director,"5 straight left side",J
1903-d,1438805497114,3,matcher,"ok",J
1903-d,1438805498153,3,director,"6 flying person",C
1903-d,1438805502000,3,matcher,"ok",C
1903-d,1438805508494,3,director,"7 bent knees pointing right"L
1903-d,1438805514800,3,matcher,"ok",L
1903-d,1438805517030,3,director,"8 looks like 7 but has cutout at back",K
1903-d,1438805521920,3,matcher,"ok",K
1903-d,1438805523445,3,director,"9 kicking",A
1903-d,1438805530880,3,matcher,"ok",A
1903-d,1438805533135,3,director,"10 straight right side / looks like holding tray",D
1903-d,1438805537494,3,matcher,"ok",D
1903-d,1438805539757,3,director,"11 rabbit facing left",B
1903-d,1438805542654,3,director,"12 sitting person",F
1903-d,1438805548974,3,matcher,"alright got it",F
1903-d,1438805554448,4,director,"even faster :D",0
1903-d,1438805561507,4,director,"1 standing on one foot",I
1903-d,1438805570120,4,director,"2. bent knees pointing right",L
1903-d,1438805577391,4,director,"3. sitting person",F
1903-d,1438805590493,4,director,"4. straight left side / diamond head",J
1903-d,1438805600180,4,director,"5. rabbit facing left",B
1903-d,1438805601224,4,matcher,"ok keep going i'll place them",0
1903-d,1438805611172,4,director,"6. holding tray facing left",D
1903-d,1438805618472,4,director,"7. rabbit facing right / looking down",E
1903-d,1438805621519,4,director,"8. kicking",A
1903-d,1438805624963,4,director,"9. flying person",C
1903-d,1438805634248,4,director,"10. looks like 2 but with cutout at back",K
1903-d,1438805638641,4,director,"11. lounging rabbit",E
1903-d,1438805642768,4,director,"12. kneeling",H
1903-d,1438805652689,5,matcher,"alright 2 more :)",0
1903-d,1438805660408,5,director,"1. rabbit looking right / down",E
1903-d,1438805666251,5,director,"2. lounging rabbit",G
1903-d,1438805669496,5,director,"3. flying person",C
1903-d,1438805673669,5,director,"4. bent knees",L
1903-d,1438805679655,5,director,"5. straight left side",J
1903-d,1438805686292,5,director,"6. rabbit facing left",B
1903-d,1438805693397,5,director,"7. standing on one foot",I
1903-d,1438805700480,5,director,"8 holding tray facing left",D
1903-d,1438805703225,5,director,"9 kicking",A
1903-d,1438805706574,5,director,"10 cutout at back",K
1903-d,1438805709888,5,director,"11 sitting person",F
1903-d,1438805712501,5,director,"12 kneeling",H
1903-d,1438805717834,6,director,":D",0
1903-d,1438805721143,6,director,"1 kicking",A
1903-d,1438805725797,6,director,"2 tray",D
1903-d,1438805728933,6,director,"3 flying person",C
1903-d,1438805732955,6,director,"4 cutout at back",K
1903-d,1438805738823,6,director,"5 standing 1 lef",I
1903-d,1438805740263,6,director,"leg",I
1903-d,1438805745721,6,director,"6 straight left side",J
1903-d,1438805749941,6,director,"7 sitting person",F
1903-d,1438805753518,6,director,"8 rabbit facing left",B
1903-d,1438805756139,6,director,"9 kneeling",H
1903-d,1438805761997,6,director,"10 lounging rabbit",G
1903-d,1438805766553,6,director,"11 bent knees",L
1903-d,1438805775509,6,director,"12 rabbit facing right / looking down",E
1903-d,1438805796773,6,matcher,"alright i think that's it.  thanks for your help!",0
1903-d,1438805801976,6,director,"u 2",0
