gameid,time,roundNum,sender,contents
3409-e,1438803401913,1,director,"facing left, wings in front of/below body, foot on ground pointing left, other leg about horizontal (looks like ice skater to me)",I
3409-e,1438803437986,1,director,"head kinda thrown upwards",I
3409-e,1438803517068,1,director,"oh, and horizontal leg is behind, to the right",I
3409-e,1438803603225,1,matcher,"3? What I have here is not a sitting image.~~~~~~so, that is a problem *laughs*~~~",G
3409-e,1438803659073,1,director,"it's almost like.~~~~~~sliding?  I guess~~~  bottom is pointing left, but arms/wings look outstretched behind the figure",G
3409-e,1438803677848,1,director,"head kinda pointing down",G
3409-e,1438803742875,1,director,"bottom is basically straight horizontal",G
3409-e,1438803810633,1,director,"2 looks contemplative, 3 looks active, 7 looks like a worshipper at a religious revival (and faces right)",0
3409-e,1438803810633,1,director,"2 looks contemplative",F
3409-e,1438803810633,1,director,"3 looks active",G
3409-e,1438803810633,1,director,"7 looks like a worshipper at a religious revival (and faces right)",B
3409-e,1438803837184,1,director,"7 on knees, 12 is sitting facing right, but also bunny ears",0
3409-e,1438803837184,1,director,"7 on knees",B
3409-e,1438803837184,1,director,"12 is sitting facing right, but also bunny ears",E
3409-e,1438803897599,1,matcher,"Alrght.~~~~~~I think I have it~~~~~~~~~",0
3409-e,1438803921294,2,director,"wow, only 8?",0
3409-e,1438803924209,2,matcher,"Or not.~~~~~~*laughs*",0
3409-e,1438803934808,2,matcher,"Ugh.~~~~~~apologes~~~",0
3409-e,1438803940694,2,director,"just let me know, I'm happy to type more",0
3409-e,1438803956464,2,director,"1 contemplative guy sitting facing left",F
3409-e,1438803962583,2,director,"2 runner/dancer",A
3409-e,1438803984853,2,director,"3 sliding/sitting guy, arms stretched back, facing left",G
3409-e,1438803997590,2,director,"4 pointing left",D
3409-e,1438803998231,2,matcher,"Is 1.~~~~~~sitting on his rear end with his knees bent?~~~~~~~~~his feet pointing to the left?",F
3409-e,1438804019169,2,director,"yes! 1 has his knees bent -- good point",F
3409-e,1438804045543,2,director,"5 religious revival, on knees, wings outstretched, facing right",B
3409-e,1438804049838,2,director,"6 bunny ears",E
3409-e,1438804066133,2,director,"7 left side straight vertical",J
3409-e,1438804074275,2,director,"8 ice skater",I
3409-e,1438804084536,2,director,"9 on knees, pointing right",K
3409-e,1438804098961,2,director,"10 stoic, no arm/leg action",H
3409-e,1438804101539,2,director,"11 ghost",C
3409-e,1438804117531,2,director,"12 crouching, pointing right",L
3409-e,1438804183631,2,director,"7 is kinda/sorta pointing, too, but it's less pronounced, and it's the only one with a flat left side down to the bottom of the figure",J
3409-e,1438804194751,2,director,"10 isn't pointing at all",H
3409-e,1438804195418,2,matcher,"Where is the image with his body almost falling to the left. He is stnading on one foot with a leg behind him to the right?",I
3409-e,1438804218252,2,director,"8, that's what I'm calling the ice skater",I
3409-e,1438804240744,2,director,"(thinking of figure skating)",I
3409-e,1438804315885,2,matcher,"Alright.~~~~~~what about the one that looks like it has a bird beak~~~~~~~~~his "head" would be pointed down towards his feet which are both facing left~~~ He is stnading on one leg~~~",A
3409-e,1438804371952,2,director,"maybe 2?  is his head tilted to the right when his feet are towards the left?",A
3409-e,1438804433274,2,matcher,"Ah, I see my mistake now.",A
3409-e,1438804438322,2,director,"I'm not sure, though -- not seeing the beak",A
3409-e,1438804460099,2,matcher,"I was thinkkng that what I was seeing was his head; it was not.",A
3409-e,1438804483679,2,director,"ah!, okay, I saw that as his arms/wing",A
3409-e,1438804495029,2,matcher,"Alright.~~~~~~what about the image with its "back" to the right and he is pointed to the left~~~~~~~~~looks to be standing still~~~",A
3409-e,1438804499174,2,director,"looks like someone getting set to run away in a cartoon to me",A
3409-e,1438804525365,2,director,"any arms/legs?",A
3409-e,1438804551419,2,matcher,"Not that appear to be in movement beyond pointed to the left",A
3409-e,1438804634494,2,director,"4 has an 'arm' outstretched to the left, 10 has no noticeable appendages",A
3409-e,1438804658158,2,matcher,"Alright. I think I have those two~~~",A
3409-e,1438804664838,2,director,"4 is point left to me, 10 is stoic",0
3409-e,1438804664838,2,director,"4 is point left to me",D
3409-e,1438804664838,2,director,"10 is stoic",H
3409-e,1438804705839,2,matcher,"Which one would be opposite 4?.~~~~~~same basic position but pointing right?",L
3409-e,1438804762781,2,director,"12 is pointing right, but kinda crouching.  7 is less obviously pointing right, but has the straight left vertical side~~~",0
3409-e,1438804762781,2,director,"12 is pointing right, but kinda crouching.",L
3409-e,1438804762781,2,director,"7 is less obviously pointing right, but has the straight left vertical side~~~",J
3409-e,1438804793221,2,matcher,"Alright.~~~~~~7 and 12 are in the right place~~~",J
3409-e,1438804798877,2,director,"crouching = knees SLIGHTLY bent, but not on his knees",F
3409-e,1438804825235,2,director,"7 looks ramrod straight",J
3409-e,1438804849379,2,director,"or upright",J
3409-e,1438804869267,2,matcher,"Is 5 kneeling with its arms outstretched?.~~~~~~revival-like position?",B
3409-e,1438804884594,2,director,"yup, exactly",B
3409-e,1438804907492,2,matcher,"Does 11 look like it could be lying down with its arms up slightly and outstretched?",C
3409-e,1438804962823,2,director,"yeah, but lying down diagonally, upper left corner to lower right corner (looks like a cartoon ghost to me -- too much scooby doo)",C
3409-e,1438804990103,2,matcher,"Maybe that is your ghost? Yes, exactly. Alright; good~~~",C
3409-e,1438805011198,2,matcher,"Yes, exactly to your description.~~~~~~not you watching too much scooby-doo~~~~~~~~~you can never have eough of that~~~",C
3409-e,1438805025577,2,director,"lol, no offense taken",0
3409-e,1438805035101,2,director,"(also, not a pothead.  just saying~~~)",0
3409-e,1438805075101,2,matcher,"Alright.~~~~~~does 9 have its head tilted back to the left with its arms outstretched to the right? One leg/foot is facing to the right?",L
3409-e,1438805110233,2,matcher,"Well, not really outstretched like 5.~~~~~~just stretched out away from its body~~~",L
3409-e,1438805171866,2,director,"looks like a kneeling figure to me -- looks more like an arm pointing to the right, I don't really see a leg facing right (just the front of the knees)",L
3409-e,1438805208964,2,director,"give me your names for the figures, too -- could help as we go forward"
3409-e,1438805278364,2,matcher,"Alright. I think I have 9~~~",K
3409-e,1438805328876,2,director,"should I go 1 by 1 instead of what I've been doing",0
3409-e,1438805330993,2,director,"?",0
3409-e,1438805340835,2,matcher,"To me, he looks to be kneeling on one leg and looks like he could be offering someting up to someone.",K
3409-e,1438805349617,2,matcher,"9, I mean.",K
3409-e,1438805359962,2,matcher,"We can try that next round.",0
3409-e,1438805378311,2,director,"could be, I just think the knee would be higher then.  either way~~~",K
3409-e,1438805460075,3,matcher,"Well, that was better at least.",0
3409-e,1438805479957,3,director,"true!",0
3409-e,1438805492811,3,matcher,"Alright.~~~~~~bunny ears?",E
3409-e,1438805497894,3,director,"7",E
3409-e,1438805511131,3,matcher,"Skater?",I
3409-e,1438805515545,3,director,"6",I
3409-e,1438805526724,3,matcher,"Ghost?",C
3409-e,1438805530678,3,director,"5",C
3409-e,1438805557016,3,matcher,"Contemplative = sitting on rear end with knees bent to the left",F
3409-e,1438805561124,3,director,"1",F
3409-e,1438805579337,3,matcher,"Revial figure?",B
3409-e,1438805582464,3,director,"4",B
3409-e,1438805601776,3,matcher,"Meditative = stoic figure?",H
3409-e,1438805605687,3,director,"8",H
3409-e,1438805620100,3,matcher,"Dancer?",A
3409-e,1438805624263,3,director,"2",A
3409-e,1438805644574,3,matcher,"Slightly crouching figure pointed right?",L
3409-e,1438805650394,3,director,"10",L
3409-e,1438805687642,3,matcher,"Sitting figure pointed right?",K
3409-e,1438805704026,3,director,"12",K
3409-e,1438805725547,3,matcher,"Straight figure pointing left?",D
3409-e,1438805745201,3,director,"3",D
3409-e,1438805752460,3,matcher,"Straight figure pointing right?",J
3409-e,1438805755190,3,director,"9",J
3409-e,1438805821081,3,matcher,"And.~~~~~~11 is the figure that neither of us can figure out how to describe?",G
3409-e,1438805824389,3,matcher,"*laughs*",G
3409-e,1438805839272,3,matcher,"".~~~~~~describe to the other?"",G
3409-e,1438805851748,3,director,"I think so -- I think of it as me sliding on a slip and slide as a kid",G
3409-e,1438805856699,3,director,"facing left",G
3409-e,1438805871098,3,director,"legs out towards the left",G
3409-e,1438805899203,3,director,"(had to go to the hospital for that once.~~~~~~ran into a tree)",G
3409-e,1438805916418,3,matcher,"Ouch.~~~~~~very ouch~~~",G
3409-e,1438805933345,3,director,"not so bad.~~~~~~kids are resilient",G
3409-e,1438806052108,3,matcher,"Hm.~~~~~~11~~~~~~~~~if you look to the bottom right of the figure~~~~~~~~~does it look like there could be the makings of a triangle there?",G
3409-e,1438806096708,3,director,"yes, I think of that as a hand",G
3409-e,1438806106340,3,director,"the black, you mean?",G
3409-e,1438806121711,3,matcher,"Yes.",G
3409-e,1438806157903,3,matcher,"Ahh.~~~~~~so one "hand is up to the right and the other is down to the right?",G
3409-e,1438806195058,3,director,"for 11? no, the 'hands' are to the right (behind the body)",G
3409-e,1438806217409,3,matcher,"Ah, I see it now.~~~~~~my mistake~~~ Yes, behond~~~",G
3409-e,1438806226611,4,director,"sweet",G
3409-e,1438806230799,4,matcher,"Yes!",G
3409-e,1438806238047,4,matcher,"Alright.~~~~~~this should go much faster~~~",0
3409-e,1438806239732,4,director,"this works better when you ask, I think",0
3409-e,1438806251415,4,matcher,"Alright.~~~~~~straight figure pointed to the right?",J
3409-e,1438806256956,4,director,"3",J
3409-e,1438806276660,4,matcher,"Straight figure pointing to the left?",D
3409-e,1438806280682,4,director,"1",D
3409-e,1438806299532,4,matcher,"Slip-n-slide figure?",G
3409-e,1438806303547,4,director,"7",G
3409-e,1438806312962,4,matcher,"Ghost?",C
3409-e,1438806315161,4,director,"8",C
3409-e,1438806324964,4,matcher,"Religious figure?",B
3409-e,1438806328353,4,director,"10",B
3409-e,1438806333484,4,matcher,"Er.~~~~~~revival rather~~~",B
3409-e,1438806337535,4,director,"yeah",B
3409-e,1438806346928,4,director,"10, I got that",B
3409-e,1438806350581,4,matcher,"Figugre sitting pointed to the right?",K
3409-e,1438806361028,4,director,"12",K
3409-e,1438806378112,4,matcher,"Meditative/stoic figure?",F
3409-e,1438806381711,4,director,"4",F
3409-e,1438806398547,4,matcher,"Slightly crouched figure pointing to the right?",L
3409-e,1438806402386,4,director,"2",L
3409-e,1438806408578,4,matcher,"Dancer?",A
3409-e,1438806413745,4,director,"6",A
3409-e,1438806424151,4,matcher,"Contemplative figure?",D
3409-e,1438806431979,4,director,"11",D
3409-e,1438806441706,4,matcher,"Bunny ears?",E
3409-e,1438806445411,4,director,"9",E
3409-e,1438806454460,4,matcher,"Skater?",I
3409-e,1438806457421,4,director,"5",I
3409-e,1438806481960,5,matcher,"Awesome! We have a system.",0
3409-e,1438806485404,5,director,"cooking with gas now",0
3409-e,1438806499667,5,matcher,"Bunny ears and ghost?",0
3409-e,1438806499667,5,matcher,"Bunny ears?",E
3409-e,1438806499667,5,matcher,"ghost?",C
3409-e,1438806508779,5,director,"12 and 6",E
3409-e,1438806536284,5,matcher,"Straighf figure pointing to left and straight figure pointing to right?",0
3409-e,1438806536284,5,matcher,"Straighf figure pointing to left?",D
3409-e,1438806536284,5,matcher,"straight figure pointing to right?",J
3409-e,1438806546470,5,director,"1 and 5",D
3409-e,1438806578732,5,matcher,"Contemplative and ,revival?",0
3409-e,1438806578732,5,matcher,"Contemplative?",F
3409-e,1438806578732,5,matcher,"revival?",B
3409-e,1438806589070,5,director,"3 and 7",F
3409-e,1438806621938,5,matcher,"Stoic and sitting figure pointing to the right?",0
3409-e,1438806621938,5,matcher,"Stoic?",H
3409-e,1438806621938,5,matcher,"sitting figure pointing to the right?",K
3409-e,1438806632396,5,director,"10 and 9",H
3409-e,1438806654482,5,matcher,"Dancer and skater?",0
3409-e,1438806654482,5,matcher,"skater?",I
3409-e,1438806654482,5,matcher,"Dancer?",A
3409-e,1438806665149,5,director,"11 and 2",I
3409-e,1438806712602,5,matcher,"Crouching and slip-n-slide?",0
3409-e,1438806712602,5,matcher,"Crouching?",L
3409-e,1438806712602,5,matcher,"slip-n-slide?",G
3409-e,1438806720100,5,director,"4 and 8",L
3409-e,1438806738873,6,director,"whee",0
3409-e,1438806756409,6,matcher,"Dancer-skater?",0
3409-e,1438806756409,6,matcher,"Dancer?",A
3409-e,1438806756409,6,matcher,"skater?",I
3409-e,1438806767285,6,director,"9-2",A
3409-e,1438806791453,6,matcher,"Revival - bunny ears?",0
3409-e,1438806791453,6,matcher,"Revival?",B
3409-e,1438806791453,6,matcher,"bunny ears?",E
3409-e,1438806799089,6,director,"12-11",B
3409-e,1438806827871,6,matcher,"Sitting - crouching?",0
3409-e,1438806827871,6,matcher,"Sitting?",K
3409-e,1438806827871,6,matcher,"crouching?",L
3409-e,1438806844215,6,director,"7-10",K
3409-e,1438806874172,6,matcher,"Contemplative - meditative?",0
3409-e,1438806874172,6,matcher,"Contemplative",F
3409-e,1438806874172,6,matcher,"meditative?",H
3409-e,1438806882607,6,director,"1-3",F
3409-e,1438806924478,6,matcher,"ghost - slide-n-slide",0
3409-e,1438806924478,6,matcher,"ghost",C
3409-e,1438806924478,6,matcher,"slide-n-slide",G
3409-e,1438806931254,6,director,"6-4",C
3409-e,1438806968643,6,director,"lol, hard to misinterpret",0
3409-e,1438806981018,6,matcher,"Sltraight pointing left and straight pointing right?",0
3409-e,1438806981018,6,matcher,"Sltraight pointing left?",D
3409-e,1438806981018,6,matcher,"straight pointing right?",J
3409-e,1438806990107,6,matcher,"*is too thorough sometimes*",0
3409-e,1438806996297,6,director,"5 and 8",0
3409-e,1438806996373,6,matcher,"*grins*",0
