gameid, time, roundNum, score, sender, contents
0089-0,1438194050735,5,5,director,"yeah, so box 6 is square on top turned sideways like a diamond. that tapers down into a rectangle except it slants to the right side at the bottom~~~ like if the triangle on the right side were cut off and moved to the left side, the base would be a rectangle that tapers up into the square head~~~"
0089-0,1438194142227,5,5,matcher,"with what looks like a detached triangular wing on the right?"
0089-0,1438194161006,5,5,director,"yep, that's the one."
0089-0,1438194165123,5,5,matcher,"gotcha"
0089-0,1438194201162,5,5,director,"alright, i think i'm on 8.~~~~~~~~~ box 8 is two squares stacked on top of each other which is on top of a triangle that points to the right~~~"
0089-0,1438194236342,5,5,director,"box 9 looks like the square is on a slope at the top and is about to topple off to the left."
0089-0,1438194283703,5,7,director,"box 10 is square head standing with palms up. it looks like they're in a robe with really baggy arms and their palms are up~~~"
0089-0,1438194307461,5,7,director,"box 11 is similar with square head, palms up but it looks like their knees are bent or they're kneeling."
0089-0,1438194313054,5,7,director,"box 12 is sad bunny"
0089-0,1438194372582,6,0,matcher,"lol. okay, it's entirely my fault~~~ let's just finish this~~~"
0089-0,1438194396069,6,0,director,"i think they're just messing with us to see how descriptive we can get. okay, here we go~~~~~~~~~ box 1 is two squares stacked on top of the triangle pointing to the right"
0089-0,1438194412397,6,0,director,"box 2 is bird head with square on top and tail feathers on the right"
0089-0,1438194450661,6,1,director,"box 3 is that thing you asked about last round. it's square head tapering down into rectangle body with the wing thing pointing to the right at the bottom"
0089-0,1438194464525,6,1,director,"box 4 is standing square head with palms up and baggy arms"
0089-0,1438194471046,6,1,director,"box 5 is touchdown Jesus"
0089-0,1438194485581,6,3,director,"box 6 is square head with rectangle body and jagged right side"
0089-0,1438194490621,6,3,director,"box 7 is sad bunny"
0089-0,1438194503710,6,5,director,"box 8 is beak head on one foot with flag on his back"
0089-0,1438194513125,6,7,director,"box 9 is kneeling square head with palms up"
0089-0,1438194521695,6,7,director,"box 10 is square about to topple off to the left"
0089-0,1438194531918,6,7,director,"box 11 is kneeling angel"
0089-0,1438194542141,6,8,director,"box 12 is lounging square head guy with his legs out"
0089-0,1438194553896,6,8,matcher,"well, thanks for putting up with me lol"
0089-0,1438194559096,6,8,matcher,"great descriptions by the way"
0089-0,1438194562173,6,8,director,"you did a good job! thanks!"
